Heat/Lot ID,Temp (K),Stress (MPa),Life (h)
BSCC-26,923,107.86,8106
BSCC-27,873,223.56,1640
BSCC-27,873,208.85,5440
BSCC-27,873,185.32,19240
BSCC-27,898,193.16,2994
BSCC-27,898,147.08,12058
BSCC-27,898,169.63,12295
BSCC-27,898,131.39,24672
BSCC-27,923,161.79,3102
BSCC-27,923,139.24,3481
BSCC-27,923,123.55,6630
BSCC-27,923,107.86,10200
BSCC-27,973,92.17,2473
BSCC-28,873,223.56,375
BSCC-28,873,208.85,469
BSCC-28,873,185.32,5233
BSCC-28,873,169.63,12357
BSCC-28,898,193.16,427
BSCC-28,898,169.63,1625
BSCC-28,898,131.39,9134
BSCC-28,898,147.08,9613
BSCC-28,923,161.79,428
BSCC-28,923,139.24,1031
BSCC-28,923,123.55,3956
BSCC-28,923,107.86,4410
BSCC-28,923,92.17,8229
BSCC-28,973,92.17,1256
BSCC-29,873,223.56,468
BSCC-29,873,208.85,888
BSCC-29,873,185.32,5055
BSCC-29,898,193.16,469
BSCC-29,898,169.63,2139
BSCC-29,898,147.08,8508
BSCC-29,923,161.79,548
BSCC-29,923,139.24,2049
BSCC-29,923,107.86,7839
BSCC-30,873,223.56,373
BSCC-30,873,208.85,856
BSCC-30,873,201.01,1519
BSCC-30,873,185.32,4270
BSCC-30,873,169.63,9001
BSCC-30,898,193.16,359
BSCC-30,898,169.63,1283
BSCC-30,898,147.08,4621
BSCC-30,898,131.39,12344
BSCC-30,923,161.79,427
BSCC-30,923,139.24,1024
BSCC-30,923,131.39,1545
BSCC-30,923,107.86,5794
BSCC-30,973,77.46,3260
BSCC-31,923,161.79,367
BSCC-31,923,139.24,681
BSCC-31,923,107.86,3935
BSCC-31,923,92.17,11268
BSCC-32,873,223.56,396
BSCC-32,873,208.85,903
BSCC-32,873,201.01,1453
BSCC-32,873,193.16,2705
BSCC-32,873,185.32,4521
BSCC-32,898,193.16,486
BSCC-32,898,169.63,1550
BSCC-32,898,147.08,6637
BSCC-32,898,131.39,10823
BSCC-32,923,161.79,422
BSCC-32,923,139.24,956
BSCC-32,923,107.86,5682
BSCC-32,923,92.17,10220
BSCC-32,973,77.46,2712
BSCC-33,923,161.79,455
BSCC-33,923,139.24,1686
BSCC-33,923,107.86,9907
BSCC-34,873,223.56,733
BSCC-34,873,208.85,1204
BSCC-34,873,201.01,2063
BSCC-34,873,185.32,5605
BSCC-34,873,169.63,10456
BSCC-34,898,193.16,562
BSCC-34,898,169.63,1857
BSCC-34,898,147.08,5000
BSCC-34,898,131.39,12469
BSCC-34,923,151.99,570
BSCC-34,923,139.24,1203
BSCC-34,923,131.39,1831
BSCC-34,923,107.86,6227
BSCC-38,873,223.56,379
BSCC-38,873,208.85,817
BSCC-38,873,185.32,3713
BSCC-38,873,169.63,8067
BSCC-38,898,193.16,352
BSCC-38,898,169.63,991
BSCC-38,898,147.08,4374
BSCC-38,898,131.39,10272
BSCC-38,923,161.79,397
BSCC-38,923,147.08,710
BSCC-38,923,139.24,1031
BSCC-38,923,131.39,1663
BSCC-38,923,107.86,5324
BSCC-38,923,92.17,12862
BSCC-40,923,161.79,2259
BSCC-40,923,139.24,5063
BSCC-40,923,107.86,14013
BSCC-41,873,185.32,13451
BSCC-41,898,168.65,4375
BSCC-41,898,147.08,13290
BSCC-41,923,139.24,2937
BSCC-42,873,223.56,613
BSCC-42,873,208.85,1152
BSCC-42,873,185.32,17549
BSCC-42,898,193.16,1189
BSCC-42,898,169.63,8285
BSCC-42,898,147.08,34924
BSCC-42,898,131.39,37179
BSCC-42,923,161.79,1920
BSCC-42,923,139.24,6776
BSCC-42,923,107.86,20447
BSCC-42,923,107.86,22917
BSCC-44,873,223.56,3750
BSCC-44,873,208.85,13322
BSCC-44,898,193.16,10558
BSCC-44,898,169.63,20065
BSCC-44,898,147.08,33680
BSCC-44,898,131.39,51468
BSCC-44,923,161.79,4422
BSCC-44,923,139.24,10731
BSCC-44,923,107.86,28898
BSCC-45,873,223.56,4160
BSCC-45,873,208.85,8325
BSCC-45,873,185.32,41963
BSCC-45,898,193.16,7633
BSCC-45,898,169.63,20129
BSCC-45,898,147.08,36047
BSCC-45,898,131.39,50736
BSCC-45,923,161.79,4513
BSCC-45,923,139.24,10739
BSCC-45,923,107.86,22701
BSCC-46,873,223.56,1772
BSCC-46,873,208.85,7626
BSCC-46,898,193.16,10659
BSCC-46,898,169.63,23314
BSCC-46,898,147.08,43867
BSCC-46,898,131.39,51532
BSCC-46,923,161.79,4865
BSCC-46,923,139.24,11969
BSCC-46,923,107.86,25326
BSCC-49,923,107.86,7072
BSCC-49,973,107.86,560
BSCC-49,973,107.86,620
BSCC-49,973,77.46,2825
BSCC-49,973,46.09,11571
BSCC-50,873,231.4,137
BSCC-50,873,215.72,793
BSCC-50,894,185.32,656
BSCC-50,894,153.94,3984
BSCC-50,894,139.24,7546
BSCC-50,923,131.39,4100
BSCC-50,948,153.94,167
BSCC-50,977,153.94,123
BSCC-51,923,208.85,157
BSCC-51,923,201.01,197
BSCC-51,923,185.32,303
BSCC-51,923,169.63,850
BSCC-51,923,131.39,2197
BSCC-51,923,153.94,2200
BSCC-51,1007,107.86,113
BSCC-51,1007,92.17,240
BSCC-51,1007,77.46,647
BSCC-51,1007,61.77,1597
BSCC-53,873,262.79,527
BSCC-53,873,231.4,1537
BSCC-53,873,185.32,28787
BSCC-53,923,201.01,220
BSCC-53,923,153.94,6074
BSCC-53,923,123.55,17100
BSCC-53,973,153.94,211
BSCC-53,973,123.55,983
BSCC-53,973,77.46,5178
BSCC-54,873,231.4,937
BSCC-54,873,215.72,9597
BSCC-54,873,185.32,16950
BSCC-54,923,201.01,249
BSCC-54,923,169.63,2943
BSCC-54,923,153.94,3915
BSCC-54,923,123.55,16496
BSCC-54,973,153.94,132
BSCC-54,973,123.55,866
BSCC-54,973,92.17,5603
BSCC-54,973,77.46,13877
BSCC-55,873,262.79,406
BSCC-55,873,233.37,1479
BSCC-55,873,215.72,1951
BSCC-55,873,185.32,18676
BSCC-55,873,169.63,29609
BSCC-55,923,201.01,157
BSCC-55,923,169.63,1311
BSCC-55,923,153.94,3128
BSCC-55,923,107.86,13353
BSCC-55,923,123.55,13606
BSCC-55,973,153.94,189
BSCC-55,973,92.17,5174
BSCC-55,973,77.46,11968
BSCC-59,873,247.09,104
BSCC-59,873,215.72,627
BSCC-59,923,185.32,291
BSCC-59,923,169.63,341
BSCC-59,923,139.24,1434
BSCC-59,923,153.94,1620
BSCC-59,973,123.55,330
BSCC-59,973,107.86,665
BSCC-8,873,239.25,252
BSCC-8,873,231.4,1363
BSCC-8,873,208.85,2188
BSCC-8,873,201.01,4932
BSCC-8,973,131.39,287
BSCC-8,973,107.86,758
BSCC-8,973,61.77,3698
BSCC-9,873,262.79,317
BSCC-9,873,239.25,594
BSCC-9,873,215.72,1437
BSCC-9,873,193.16,5187
BSCC-9,873,177.48,8571
BSCC-9,873,153.94,20126
BSCC-9,873,139.24,37170
BSCC-9,898,208.85,474
BSCC-9,898,185.32,1409
BSCC-9,898,161.79,4418
BSCC-9,898,147.08,7192
BSCC-9,898,131.39,12332
BSCC-9,923,185.32,345
BSCC-9,923,153.94,1292
BSCC-9,923,129.43,2024
BSCC-9,923,115.7,5890
BSCC-9,923,100.01,15347
BSCC-9,923,85.31,29346
BSCC-9,948,153.94,303
BSCC-9,948,131.39,806
BSCC-9,948,107.86,2252
BSCC-9,948,92.17,5788
BSCC-9,948,77.46,16423
BSCC-9,973,123.55,298
BSCC-9,973,100.01,1071
BSCC-9,973,85.31,2676
BSCC-9,973,69.62,8886
BSCC-9,973,53.93,30881
S 9-114,866.33,248.18,171
S 9-114,866.33,230.95,1158
S 9-114,866.33,206.82,3568
S 9-114,866.33,193.03,4880
S 9-114,921.89,189.59,155
S 9-114,921.89,172.35,448
S 9-114,921.89,151.67,1172
S 9-114,921.89,137.88,2067
S 9-114,921.89,124.09,3183
S 9-114,921.89,113.75,5516
S 9-114,1005.22,103.41,217
S 9-114,1005.22,86.18,588
S 9-114,1005.22,75.83,1082
S 9-114,1005.22,55.15,4707
S 9-114,1088.56,55.15,236
S 9-114,1088.56,44.81,625
S 9-114,1088.56,34.47,2576
S 9-114,1088.56,28.95,4975
S 9-115,866.33,255.08,124
S 9-115,866.33,220.61,416
S 9-115,866.33,199.93,1060
S 9-115,921.89,172.35,278
S 9-115,921.89,162.01,564
S 9-115,921.89,151.67,728
S 9-115,921.89,134.43,1714
S 9-115,1005.22,96.52,198
S 9-115,1005.22,75.83,1045
S 9-115,1088.56,58.6,117
S 9-115,1088.56,41.36,759
S 9-178,866.33,261.97,148
S 9-178,866.33,206.82,5395
S 9-178,921.89,193.03,304
S 9-178,921.89,137.88,5753
S 9-178,977.44,103.41,695
S 9-178,977.44,75.83,6130
S 9-178,1005.22,89.62,536
S 9-178,1088.56,55.15,281
S 9-182,921.89,172.35,453
S 9-182,921.89,158.56,1541
S 9-226,921.89,206.82,159
S 9-226,921.89,189.59,289.7
S 9-226,921.89,189.59,340.3
S 9-226,921.89,189.59,354.2
S 9-226,921.89,189.59,399.8
S 9-226,921.89,172.35,602.8
S 9-226,921.89,172.35,633.5
S 9-226,921.89,172.35,743.9
S 9-226,921.89,172.35,834.4
S 9-226,921.89,151.67,1386
S 9-226,921.89,151.67,1708.4
S 9-226,921.89,151.67,1786.3
S 9-226,921.89,151.67,2807.9
S 9-226,921.89,130.99,6327.2
S 9-226,921.89,124.09,7045.7
S 9-226,921.89,124.09,7483.2
S 9-226,921.89,124.09,8554.2
S 9-227,921.89,206.82,511.5
S 9-227,921.89,206.82,1067.2
S 9-227,921.89,189.59,1249.4
S 9-227,921.89,189.59,1281.4
S 9-227,921.89,172.35,1787.6
S 9-227,921.89,151.67,2754.7
S 9-227,921.89,172.35,2949.5
S 9-227,921.89,151.67,4082.6
S 9-227,921.89,124.09,7448
S 9-228B,921.89,206.82,1949.9
S 9-228B,921.89,196.48,4422.3
S 9-228B,921.89,172.35,7709
S 9-228B,921.89,137.88,11168.1
S 9-228B,921.89,151.67,13214.1
S 9-228B,921.89,124.09,19239.4
S 9-228S,921.89,206.82,2208.7
S 9-228S,921.89,196.48,2297
S 9-228S,921.89,172.35,6606.3
S 9-228S,921.89,151.67,8867.8
S 9-229A,921.89,172.35,478.2
S 9-229A,921.89,151.67,1294.8
S 9-229A,921.89,124.09,6963.6
S 9-229A,921.89,110.3,8150.7
S 9-229A,921.89,96.52,25296.9
S 9-231,921.89,196.48,690.4
S 9-231,921.89,172.35,3499.5
S 9-231,921.89,155.12,4881.5
S 9-231,921.89,120.65,8597.9
S 9-231,921.89,103.41,23146.4
S 9-231,1005.22,113.75,115.1
S 9-231,1005.22,103.41,218.1
S 9-231,1005.22,79.28,1080.4
S 9-231,1005.22,65.49,2865.2
S 9-231,1005.22,51.71,6779.4
S 9-231,1005.22,48.26,13848.2
S 9-231,1088.56,59.29,190.2
S 9-231,1088.56,38.61,1353.1
S 9-231,1088.56,31.02,2845.5
S 9-231,1088.56,24.13,7871.2
S 9-231,1088.56,20.68,13145.8
S 9-232,921.89,227.5,105.4
S 9-232,921.89,196.48,391.8
S 9-232,921.89,172.35,3882.3
S 9-232,921.89,144.77,5246.7
S 9-232,921.89,110.3,14584.7
S 9-232,1005.22,117.2,150.2
S 9-232,1005.22,113.75,159.7
S 9-232,1005.22,103.41,319.6
S 9-232,1005.22,57.91,6402.2
S 9-232,1005.22,48.26,13913.4
S 9-232,1088.56,46.88,690.9
S 9-232,1088.56,39.99,1077.2
S 9-232,1088.56,27.58,3443.9
S 9-32,838.56,344.7,114.2
S 9-32,838.56,310.23,273.3
S 9-32,838.56,273,1140.2
S 9-32,921.89,206.82,168.2
S 9-32,921.89,168.9,605.5
S 9-33,894.11,144.77,538
S 9-33,894.11,144.77,1265
S 9-33,894.11,124.09,2519
S 9-33,921.89,124.09,1087
S 9-34,921.89,206.82,157.3
S 9-34,921.89,172.35,580.4
S 9-34,921.89,158.56,1088.8
S 9-34,921.89,137.88,2364.8
S 9-36,921.89,137.88,1305
S 9-36,921.89,130.99,1536
S 9-36,921.89,130.99,1932
S 9-36,921.89,137.88,2033
S 9-36,921.89,124.09,3151.8
S 9-372,921.89,172.35,984
S 9-372,921.89,117.2,13056
S 9-372,977.44,151.67,290
S 9-372,977.44,130.99,671
S 9-372,977.44,117.2,1472
S 9-372,1033,96.52,254
S 9-372,1033,75.83,985
S 9-372,1033,51.71,6336
S 9-372,1088.56,65.49,312
S 9-372,1088.56,51.02,817
S 9-372,1088.56,34.47,2841
S 9-372,1144.11,44.81,206
S 9-372,1144.11,34.47,684
S 9-372,1144.11,27.58,1247
S 9-373,866.33,275.76,163
S 9-373,866.33,248.18,593
S 9-373,977.44,137.88,327
S 9-373,1088.56,62.05,251
S 9-373,1088.56,51.71,742
S 9-374 S,866.33,275.76,274
S 9-374 S,866.33,261.97,395
S 9-374 S,866.33,234.4,15793
S 9-374 S,921.89,165.46,308
S 9-374 S,921.89,151.67,1723
S 9-374 S,921.89,137.88,5540
S 9-375A,921.89,179.24,149
S 9-375A,921.89,165.46,450
S 9-375A,921.89,151.67,1375
S 9-375A,1088.56,48.26,185
S 9-375A,1088.56,37.92,1130
S 9-375A,1088.56,33.09,1792
S 9-376,866.33,234.4,1075
S 9-376,921.89,151.67,1125
S 9-376,1005.22,86.18,1241
S 9-378A,921.89,179.24,307
S 9-378A,921.89,179.24,551
S 9-378A,921.89,165.46,1345
S 9-378A,921.89,137.88,3026
S 9-378A,921.89,124.09,5235
S 9-378A,921.89,103.41,9990
S 9-378C,921.89,179.24,393
S 9-378C,921.89,165.46,1005
S 9-378C,921.89,137.88,2922
S 9-378C,921.89,103.41,10827
S 9-378D,921.89,179.24,498
S 9-378D,921.89,165.46,1007
S 9-378D,921.89,137.88,3068
S 9-378D,921.89,124.09,3860
S 9-378D,921.89,103.41,10717
S 9-379A,921.89,179.24,155
S 9-379A,921.89,165.46,446
S 9-379A,921.89,137.88,1755
S 9-379A,921.89,124.09,3565
S 9-379C,921.89,179.24,273
S 9-379C,921.89,165.46,498
S 9-379C,921.89,137.88,1477
S 9-379C,921.89,130.99,2590
S 9-379C,921.89,124.09,3175
S 9-52A,866.33,239.08,115
S 9-52A,866.33,239.08,122
S 9-52A,866.33,239.08,132
S 9-52A,866.33,218.06,170
S 9-52A,866.33,218.06,257
S 9-52A,866.33,218.06,265
S 9-52A,866.33,218.06,570
S 9-52A,866.33,218.06,594
S 9-52A,866.33,218.06,779
S 9-52A,866.33,198.82,1267
S 9-52A,866.33,198.82,1637
S 9-52A,866.33,198.82,1658
S 9-52A,866.33,198.82,1709
S 9-52A,866.33,198.82,1785
S 9-52A,866.33,198.82,2437
S 9-52A,977.44,125.54,116
S 9-52A,977.44,125.54,118
S 9-52A,977.44,125.54,121
S 9-52A,977.44,125.54,134
S 9-52A,977.44,106.79,290
S 9-52A,977.44,106.79,326
S 9-52A,977.44,106.79,343
S 9-52A,977.44,106.79,346
S 9-52A,977.44,106.79,357
S 9-52A,977.44,106.79,376
S 9-52A,977.44,90.93,839
S 9-52A,977.44,90.93,852
S 9-52A,977.44,90.93,867
S 9-52A,977.44,90.93,902
S 9-52A,977.44,90.93,950
S 9-52A,977.44,90.93,996
S 9-52A,977.44,77.42,1542
S 9-52A,977.44,77.42,1873
S 9-52A,977.44,77.42,2028
S 9-52A,977.44,77.42,2037
S 9-52A,977.44,77.42,2045
S 9-52A,977.44,77.42,2046
S 9-52A,977.44,65.84,3122
S 9-52A,977.44,65.84,3184
S 9-52A,977.44,65.84,3343
S 9-52A,977.44,65.84,4087
S 9-52A,977.44,65.84,4414
S 9-52A,977.44,65.84,4500
S 9-52A,1088.56,58.74,103
S 9-52A,1088.56,58.74,104
S 9-52A,1088.56,58.74,104
S 9-52A,1088.56,58.74,111
S 9-52A,1088.56,58.74,115
S 9-52A,1088.56,58.74,133
S 9-52A,1088.56,48.81,244
S 9-52A,1088.56,48.81,272
S 9-52A,1088.56,48.81,274
S 9-52A,1088.56,48.81,288
S 9-52A,1088.56,48.81,297
S 9-52A,1088.56,48.81,302
S 9-52A,1088.56,37.23,651
S 9-52A,1088.56,37.23,683
S 9-52A,1088.56,37.23,710
S 9-52A,1088.56,37.23,810
S 9-52A,1088.56,37.23,987
S 9-52A,1088.56,37.23,1075
S 9-52A,1088.56,29.44,1589
S 9-52A,1088.56,29.44,1595
S 9-52A,1088.56,29.44,1681
S 9-52A,1088.56,29.44,1748
S 9-52A,1088.56,29.44,1993
S 9-52A,1088.56,29.44,2169
S 9-52A,1088.56,23.44,3664
S 9-52A,1088.56,23.44,3864
S 9-52A,1088.56,23.44,4133
S 9-52A,1088.56,23.44,4263
S 9-52A,1088.56,23.44,5636
S 9-52A,1088.56,23.44,5962
S 9-97,866.33,310.23,124
S 9-97,866.33,255.08,561
S 9-97,866.33,275.76,562
S 9-97,866.33,227.5,1970
S 9-97,921.89,179.24,440
S 9-97,921.89,158.56,799
S 9-97,921.89,151.67,980
S 9-97,921.89,110.3,10418
S 9-97,1005.22,110.3,267
S 9-97,1005.22,89.62,825
S 9-97,1005.22,62.05,5212
S 9-98,866.33,234.4,1075
S 9-98,921.89,151.67,1125
S 9-98,1005.22,86.18,1241
